2248,2624
2984,3472
3528,3732
3876,4188
4356,5160
5336,5828
5856,6508
6832,7476
7648,8380
8416,9040
7199,7201
12008,12388
12408,12628
12712,13180
13224,13268
13396,14588
14780,14828
15348,16084
16168,16412
16536,17332
17520,18060
18088,18376
18572,19964
20156,20308
20336,21024
21599,21601
22920,23532
23596,24488
24656,24920
25104,25564
25608,25660
25832,26612
27972,28196
28799,28801
28808,28952
29132,29328
29408,29764
29940,30184
31016,31344
31476,32316
32399,32401
32432,32948
33140,33660
33820,34900
35999,36001
36532,37004
37064,37384
37428,37564
37760,38452
38520,38628
39599,39601
40192,40968
43199,43201
45408,45728
45900,46124
46152,46512
46799,46801
49228,49896
50399,50401
51676,51764
51828,52252
53996,54832
55616,55784
56036,56432
57599,57601
59320,60056
61199,61201
62560,63096
63236,63984
64104,64484
64572,64840
64996,65404
65476,65776
65960,66292
66564,67116
67172,67260
67284,67688
68399,68401
69548,70492
70612,71080
71268,71996
71999,72001
72052,72304
72348,72732
72832,72860
73056,73636
73788,73880
73900,74248
74336,74740
74756,74988
75252,76172
76272,76360
76376,76528
78780,78836
79064,79628
82788,83348
83468,84104
84308,85164
85820,86156
86224,86392
